,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00166463",118,40,59,-,14,1,4,117,40,59,-,13,1,4,111,35,59,-,13,1,5,11,5,1,-,3,-,-,-,-,-,-,-,-,-,103,33,55,-,11,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-
"S00166464",76,32,29,1,7,5,1,72,31,29,1,7,1,1,72,31,29,1,7,1,1,6,4,1,-,1,-,-,-,-,-,-,-,-,-,66,27,27,1,8,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00166465",160,60,66,-,17,11,6,147,55,65,-,15,6,6,147,55,65,-,15,6,6,11,6,-,-,-,4,2,-,-,-,-,-,-,-,133,48,64,-,15,1,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4,1,-,-,4,-,2,-,-,-,2,-,-,1,1,-,-,-,-,-
"S00166466",98,38,41,4,6,5,4,94,38,41,4,6,1,4,91,38,41,1,6,1,4,7,5,2,-,-,-,-,-,-,-,-,-,-,-,83,33,38,1,6,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166467",156,66,66,-,16,1,7,154,65,65,-,16,1,7,156,65,64,-,16,1,7,4,1,-,-,-,-,1,2,2,-,-,-,-,-,148,61,64,-,16,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-
"S00166468",102,41,43,7,10,-,3,90,37,43,5,7,-,4,84,33,43,4,6,-,4,12,9,-,-,1,-,1,-,-,-,-,-,-,-,71,24,42,4,4,-,1,2,-,-,-,2,-,-,-,-,-,-,-,-,-,6,2,-,2,-,-,-,4,2,-,-,3,-,-,6,2,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00166469",124,22,82,5,14,-,3,122,22,81,5,14,-,4,122,22,81,5,14,-,4,8,5,2,1,-,-,-,-,-,-,-,-,-,-,114,17,79,4,14,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166470",104,23,56,3,16,4,3,102,23,56,3,16,3,3,101,22,56,3,16,3,3,6,2,2,-,-,1,2,-,-,-,-,-,-,-,95,21,54,3,16,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166471",65,16,33,2,6,1,3,65,16,33,2,6,1,3,68,17,33,2,6,1,3,5,3,-,-,1,1,-,-,-,-,-,-,-,-,58,14,33,2,5,2,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166472",116,45,47,8,15,-,1,112,44,45,7,15,-,1,110,44,45,5,15,-,1,13,10,1,1,2,-,-,1,1,-,-,-,-,-,96,33,44,6,14,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,-,-,-,2,-,1,1,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166473",76,41,25,1,7,-,4,76,41,25,1,7,-,4,82,40,25,1,7,-,4,13,10,4,-,-,-,1,-,-,-,-,-,-,-,65,30,23,1,7,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166474",90,21,35,1,29,3,5,84,20,33,1,29,-,5,83,20,33,1,25,-,5,7,-,-,1,3,-,-,-,-,-,-,-,-,-,73,18,33,-,22,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,-,1,-,2,1,-,-,-,1,-,2,-,1,-,-,1,-,1,-,1,-,-,-,-
"S00166475",127,56,44,7,18,4,-,124,56,44,6,18,3,-,122,55,44,8,18,3,-,6,3,1,2,1,-,-,-,-,-,-,-,-,-,112,52,43,2,13,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,1,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166476",80,23,30,12,13,3,-,75,23,30,10,13,2,-,73,23,30,7,13,2,-,5,3,-,-,-,2,-,-,-,-,-,-,-,-,67,19,30,7,13,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,-,-,-,4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166477",86,29,28,12,14,1,4,82,24,28,12,14,-,4,79,23,28,12,14,-,4,7,2,1,-,1,-,-,-,-,-,-,-,-,-,72,21,27,9,12,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-
"S00166478",149,44,76,3,16,7,2,143,44,76,3,16,3,2,145,44,75,-,16,3,2,5,5,-,-,-,-,-,2,1,1,-,-,-,-,137,38,74,-,16,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,1,1,-,-,-,5,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166479",63,30,14,3,7,3,6,63,30,14,3,7,3,6,62,30,14,3,7,2,6,10,6,-,4,4,-,-,-,-,-,-,-,-,-,52,24,14,1,5,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166480",81,19,39,3,16,1,2,81,19,39,3,16,1,2,81,19,39,3,16,1,2,4,3,-,-,2,-,-,1,1,-,-,-,-,-,74,11,39,3,15,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166481",86,42,30,-,8,-,7,83,39,30,-,8,-,6,81,39,30,-,8,-,6,7,5,1,-,1,-,-,-,-,-,-,-,-,-,74,35,29,-,4,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-,1,2,2,-,-,-,-,-
"S00166482",133,26,67,2,22,-,16,131,26,67,2,21,-,13,126,23,66,2,21,-,12,8,-,3,-,2,1,-,-,-,-,-,-,-,-,117,20,63,2,16,1,12,2,2,-,-,-,-,-,-,-,-,-,-,-,-,5,3,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166483",85,27,38,1,18,-,1,84,26,38,1,18,-,1,84,26,38,1,18,-,1,9,3,3,-,3,-,-,-,-,-,-,-,-,-,75,23,35,1,15,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
"S00166484",165,37,79,5,23,4,13,163,37,79,4,23,3,13,162,37,79,3,23,3,13,19,5,7,1,5,2,1,-,-,-,-,-,-,-,143,31,72,2,19,2,16,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00166485",105,34,43,6,20,1,3,100,31,42,6,20,1,3,99,29,42,6,20,1,3,6,1,1,-,2,1,-,-,-,-,-,-,-,-,92,24,41,6,18,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166486",74,11,42,4,11,-,2,73,11,42,4,14,-,2,70,9,42,3,14,-,2,2,2,1,-,-,-,-,-,-,-,-,-,-,-,66,9,41,3,14,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00166487",82,14,51,1,9,1,5,81,14,51,1,9,-,5,77,13,51,2,9,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,13,49,2,9,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166488",72,25,28,2,3,4,6,72,25,28,2,3,4,6,72,25,28,2,3,4,6,6,-,1,-,1,-,1,-,-,-,-,-,-,-,66,23,22,2,2,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166489",81,25,33,4,9,-,6,81,25,33,4,9,-,6,80,22,33,6,10,-,4,10,4,2,-,1,-,-,-,-,-,-,-,-,-,67,19,28,6,9,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166490",76,15,36,9,10,3,3,73,17,36,9,10,1,3,70,13,36,7,10,1,3,7,3,-,2,2,-,-,-,-,-,-,-,-,-,62,10,34,6,8,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,3,-,1,1,-,-,-,-,-
"S00166491",188,56,84,4,35,-,10,185,56,82,4,35,-,7,181,52,82,4,35,-,7,18,9,3,1,4,-,1,2,1,-,-,1,-,-,161,42,77,3,29,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
"S00166492",64,25,21,3,8,-,9,64,25,21,3,8,-,9,59,23,21,1,8,-,7,9,2,2,1,1,-,1,1,-,1,-,-,-,-,50,21,18,-,5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166493",102,36,50,4,10,-,1,101,36,50,4,10,-,1,101,36,50,4,10,-,1,9,6,3,-,-,-,-,-,-,-,-,-,-,-,92,30,47,4,10,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166494",77,33,27,5,11,-,2,77,33,27,5,11,-,2,69,30,27,5,10,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,69,31,27,4,10,-,2,2,1,-,-,1,-,-,-,-,-,-,-,-,-,4,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166495",86,23,29,12,24,-,-,82,21,29,12,22,-,-,77,21,29,2,22,-,-,6,5,1,-,1,-,-,-,-,-,-,-,-,-,71,17,28,2,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,4,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-
"S00166496",81,38,31,-,9,-,-,74,42,29,-,6,-,-,74,42,29,-,6,-,-,4,4,2,-,-,-,-,-,-,-,-,-,-,-,70,36,27,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,3,-,-,2,1,-,-,1,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-
"S00166497",60,24,23,5,4,2,3,59,23,23,5,4,2,3,58,22,23,5,4,2,3,10,4,2,1,3,2,1,2,1,-,1,-,-,-,44,17,22,4,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00166498",104,17,57,4,18,-,8,99,17,57,4,18,-,7,99,17,57,4,18,-,7,2,-,-,-,-,-,2,-,-,-,-,-,-,-,101,17,57,4,18,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166499",137,61,61,4,5,1,5,132,61,60,4,5,-,5,133,59,60,4,5,-,5,7,6,-,-,-,-,-,-,-,-,-,-,-,-,126,54,59,4,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166500",130,62,39,5,19,-,5,129,61,39,5,19,-,5,121,58,38,5,19,-,5,10,8,-,-,1,-,1,2,2,-,-,-,-,-,109,48,38,5,14,-,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,9,3,1,-,4,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166501",76,14,31,5,18,2,2,75,13,31,5,18,2,2,75,13,31,5,18,2,2,6,3,-,-,2,-,-,-,-,-,-,-,-,-,69,14,30,5,17,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166502",102,48,25,7,12,1,9,100,48,25,6,11,1,9,96,45,25,2,11,1,9,17,6,2,-,5,1,4,-,-,-,-,-,-,-,76,39,23,2,6,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00166503",70,17,31,-,16,-,8,70,17,31,-,16,-,8,71,13,31,-,16,-,8,6,3,-,-,-,1,-,-,-,-,-,-,-,-,64,10,31,-,14,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166504",92,20,34,5,26,4,3,91,20,33,5,26,4,3,88,20,33,4,26,4,3,8,5,-,-,4,1,-,-,-,-,-,-,-,-,74,13,33,4,22,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
"S00166505",151,60,64,7,14,-,6,148,60,64,5,14,-,6,148,59,64,5,14,-,6,11,6,3,-,1,-,-,-,-,-,-,-,-,-,137,53,61,4,13,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
"S00166506",167,65,64,1,33,1,3,167,65,64,1,33,1,3,167,65,64,1,33,1,3,28,23,2,1,3,-,-,1,-,1,-,-,-,-,138,46,62,-,30,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166507",158,45,61,4,42,-,3,157,44,60,4,44,-,3,156,41,60,4,40,-,3,12,6,-,1,4,-,4,-,-,-,-,-,-,-,144,37,60,3,38,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,2,-,-
"S00166508",66,24,22,3,11,-,10,66,24,22,3,11,-,10,66,24,22,3,11,-,10,7,5,-,-,1,-,-,-,-,-,-,-,-,-,63,19,22,3,13,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166509",165,73,51,4,24,-,13,164,73,51,3,24,-,13,164,73,51,3,24,-,13,38,23,-,-,8,-,5,2,-,-,-,2,-,-,128,46,51,3,15,-,6,-,-,-,-,-,-,-,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166510",115,25,42,3,39,-,6,113,23,42,3,39,-,6,113,23,42,3,39,-,6,9,6,-,1,3,-,1,1,-,-,-,1,-,-,103,19,42,3,35,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-
"S00166511",97,26,45,6,19,1,2,96,25,45,6,19,1,2,96,25,45,6,19,1,2,10,5,1,-,3,-,-,-,-,-,-,-,-,-,86,20,44,3,16,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00166512",132,36,59,2,25,1,7,128,35,60,2,25,1,7,127,34,60,2,25,1,7,20,11,3,1,4,-,1,-,-,-,-,-,-,-,106,22,55,1,20,1,6,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,-,2,-,-,-,-
"S00166513",94,26,36,1,30,-,-,92,26,35,1,29,-,-,89,24,34,1,29,-,-,15,8,-,-,5,-,-,-,-,-,-,-,-,-,74,16,33,1,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,1,-,-,-,-
"S00166514",131,46,45,5,25,3,8,127,46,45,5,24,3,8,127,46,45,5,24,3,8,28,20,2,2,2,3,1,1,-,1,-,-,-,-,101,22,43,5,23,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00166515",94,24,32,8,27,-,1,91,23,32,8,23,-,1,88,25,32,8,23,-,1,21,14,-,4,4,-,-,-,-,-,-,-,-,-,72,11,32,4,20,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-
"S00166516",108,34,32,2,29,2,8,105,31,32,2,29,2,8,105,31,32,2,29,2,8,25,14,1,2,3,-,3,-,-,-,-,-,-,-,82,17,31,-,28,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-
"S00166517",58,23,24,3,8,-,2,59,23,24,3,7,-,2,59,23,24,3,7,-,2,7,5,-,-,1,-,-,-,-,-,-,-,-,-,52,18,23,3,6,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-
"S00166518",172,67,43,2,47,2,11,167,64,43,2,45,2,11,163,61,43,1,41,2,11,21,15,2,-,3,1,-,1,1,-,-,-,-,-,140,47,41,1,40,1,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,1,2,-,-,2,-,-,-,2,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,1,1,-,-,-,-,-
"S00166519",64,18,29,-,7,1,8,64,18,29,-,7,1,8,64,18,29,-,7,1,8,9,4,1,-,2,-,1,-,-,-,-,-,-,-,55,15,25,-,5,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166520",120,44,29,4,30,2,11,117,45,29,4,29,1,11,114,41,29,4,28,1,11,30,17,2,4,-,-,5,1,1,-,-,-,-,-,79,20,25,-,27,1,6,4,3,1,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00166521",110,47,27,3,29,3,2,109,47,27,3,28,3,2,108,47,27,3,28,3,2,38,15,8,-,12,1,2,1,1,-,-,-,-,-,67,28,17,3,19,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
"S00166522",141,54,55,2,19,3,6,137,53,52,2,19,3,6,134,50,52,2,19,3,6,12,11,-,4,3,-,-,-,-,-,-,-,-,-,118,39,52,1,17,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,2,1,1,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"S00166523",138,54,58,6,11,-,11,130,52,57,6,11,-,10,130,52,57,6,11,-,10,19,14,1,-,2,-,1,-,-,-,-,-,-,-,115,39,54,6,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1
"S00166524",154,51,80,3,15,-,5,151,49,79,3,15,-,5,148,49,78,3,13,-,5,33,15,4,2,5,-,3,-,-,-,-,-,-,-,112,24,74,1,8,-,2,2,2,-,-,-,-,-,1,1,-,-,-,-,-,3,-,-,-,2,-,-,-,2,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166525",75,33,13,5,15,7,-,70,29,12,5,13,7,-,66,31,11,5,10,7,-,31,20,3,4,-,2,-,-,-,-,-,-,-,-,33,10,6,3,9,4,-,4,1,-,-,-,1,-,-,-,-,-,-,-,-,4,1,1,-,2,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,-,-,-,2,-,-
"S00166526",66,28,21,2,6,2,6,66,28,21,2,6,2,6,61,26,21,-,6,2,6,20,11,-,-,4,1,6,-,-,-,-,-,-,-,41,15,21,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00166527",131,46,50,3,15,1,16,128,45,50,2,15,-,16,126,43,50,2,15,-,16,31,25,-,-,5,-,1,1,1,-,-,-,-,-,93,17,50,2,9,-,15,1,-,-,-,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,-,1,-
"S00166528",132,35,50,7,24,-,16,130,35,49,7,23,-,16,125,36,49,6,21,-,15,24,11,1,5,5,-,5,-,-,-,-,-,-,-,99,23,46,-,16,-,12,2,2,-,-,-,-,-,-,-,-,-,-,-,-,5,1,-,-,2,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-
